IDRFME;DTREF;ANO;MES;TIMEID;DEF_12;nr_titulares;nr_outros_interv;PREST;max_escolaridade;min_escolaridade;max_risco_regiao;min_risco_regiao;n_tit_domvenc;med_domvenc;med_dias_devedor;flag_nao_resi;med_idade;younger;older;avg_dependentes;flag_resec;med_filhos;med_idade_filhos;med_rend_disp;pior_habitacao;best_habitacao;flag_resi;pior_vinclab;best_vinclab;best_prof2;pior_prof2;max_risco_origem2;min_risco_origem2;pior_estciv;best_estciv;CDTIPES;EXPOSICAO;MTLINHASDISP;PRAZO;FINALIDADE;FLAG_REEST;TXESFGLOBAL;FLG14PREST;OUT_VALPREST;INVALPRESTDUPLA;OUTVALPRESTDUPLA;CARNUM;PCTVALRES;SLDULTRESM;SLDPNTBSCAP1M;SLDPNTBSPPR;SLDPNTFUND;SLDPNTDEPPRZ;SLDPNTOUTDES;VALPRESTDUPLA;DO_PREST;DUMMYAUTONOVO;DUMMYPRAZO72_84;DUMMYPRAZOSUP84;DUMMYDOMVENC_AVAL;DUMMYRECPRAZO;DUMMYIFSUP5TC;INCTC;NUM_DEB_FINALtc;REC_PRAZO;NRDIASDEVEDOR;SLDPNTDO;SLDMDDOTM;SLDPNTTITRV;PLATRDIARIOCC;MEDR1MCC;MEDRADCC;MEDR1MCI;MEDRADCI;PRESTDIARIACI;MEDR1MCH;MEDRADCH;PRESTDIARIACH;MEDR1MCHP;SLDMDDEVAD;SLDMDDEV1M;SLDMDDEV3M;SLDMDDEV6M;TPRESTFRONTENDCI;flag_garant;flag_fin;envolvimento;ANTCONTA1;VARIOS_TITULARES;INDRESTRUT_num;flag14prest;SALDO_PONTUAL;naciona_final_num;naciona_rend_num;estciv_final_num
AA60013711427;2015-01-31;2015;1;201501;0;1;0;76.66;1;1;3;3;1;;0;0;42;42;42;1;0;0;0;570.02133333;5;5;1;1;1;4;4;2;2;4;4;P;2728.51;0;48;98;0;9.483;N;0.00;0.00;0.00;0;0.00000;6.333333;0.00;0.00;0.00;1.00;0.00;0;8.2615875294;0;0;0;0;1;0;0;3;0;0;517.51;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;1;0;0;4
AA60013711961;2015-01-31;2015;1;201501;0;2;0;67.18;1;1;8;1;1;;0;0;43.5;43;44;1;0;1;8;425.63666667;3;2;1;3;1;4;4;2;2;2;1;P;2059.22;0;40;98;0;5.452;N;0.00;0.00;0.00;0;0.00000;12.333333;0.00;0.00;0.00;20.00;0.00;0;18.358637987;0;0;0;0;1;0;0;6;0;0;0.20;;;;;;;;;;;;;0.000000;;;;0.00;1;1;1;;1;0;0;20;0;0;2
AA60013712188;2015-01-31;2015;1;201501;0;1;0;154.53;3;3;2;2;0;;0;0;30;30;30;0;0;0;0;528.508;5;5;1;1;1;1;1;2;2;5;5;P;8373.79;0;84;98;0;36.096;N;0.00;0.00;0.00;0;0.00000;3.000000;0.00;0.00;0.00;0.00;0.00;0;1.9413706076;0;1;0;0;0;0;0;3;0;0;690.98;;;500.00;;0.00;;;;;;;;0.000000;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60013712641;2015-01-31;2015;1;201501;0;1;0;70.58;1;1;6;6;0;;24;0;37;37;37;1;0;0;0;91.527333333;5;5;1;2;2;3;3;2;2;5;5;P;2012.47;0;36;98;1;34.831;N;0.00;0.00;0.00;0;0.00000;28.666667;0.00;0.00;0.00;0.00;0.00;0;40.615850099;0;0;0;0;0;0;1;87;0;24;-2061.77;366.000000;;;;;;;;;;;;2061.770000;589.000000;198.000000;99.000000;0.00;1;1;4;;0;1;0;0;0;0;1
AA60013713188;2015-01-31;2015;1;201501;0;1;0;125.11;3;3;4;4;1;;0;0;35;35;35;0;0;0;0;676.15666667;4;4;1;1;1;4;4;2;2;5;5;P;3522.16;0;36;98;0;28.545;N;0.00;0.00;0.00;0;0.00000;269.333333;0.00;0.00;0.00;620.00;0.00;0;215.27722244;0;0;0;0;1;0;0;30;200;0;810.85;;;300.00;;25.00;;;;;;;;0.000000;;;;0.00;1;1;2;;0;0;0;620;0;0;1
AA60013713210;2015-01-31;2015;1;201501;0;1;1;140.57;1;1;10;10;0;;0;0;47;47;47;0;0;0;0;0;4;4;1;2;2;4;4;2;2;5;5;P;6280.35;0;72;98;0;999.000;N;0.00;0.00;0.00;12;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;500.00;69.665484;0.00;;;;;;;;;;;;0.00;0;1;1;;0;0;0;0;0;0;1
AA60013718011;2015-01-31;2015;1;201501;0;2;0;151.33;1;1;2;1;0;;0;1;42.5;40;45;2;1;1;7;2137.0366667;4;2;0;2;2;4;4;2;2;2;1;P;6376.42;0;60;98;0;22.440;N;0.00;0.00;0.00;0;0.00000;1022.666667;0.00;0.00;0.00;200.00;0.00;0;675.78581048;0;0;0;0;1;0;0;30;95.333333;0;112.83;375.000000;;1750.00;1240.734194;1641.98;;;;;;;;;;;;0.00;1;1;2;;1;0;0;200;0;0;2
AA60013719165;2015-01-31;2015;1;201501;1;1;0;109.38;1;1;4;4;0;;0;0;38;38;38;0;0;0;0;658.25866667;3;3;1;1;1;6;6;2;2;4;4;P;2997.23;0;36;99;1;11.399;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;5000.00;;;;;;;0.00;0.00;;;;;;;;;0.00;1;0;1;;0;1;0;0;0;0;4
AA60013720618;2015-01-31;2015;1;201501;0;2;0;182.4;1;1;8;8;2;;0;0;37;36;38;1;0;0.5;9.5;714.891;3;1;1;1;1;5;6;2;2;5;5;P;8032.88;0;60;98;0;20.836;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;150.00;102.873226;0.00;;;;103104.281935;102725.92;285.02;;;;;;0.00;1;1;1;;1;0;0;0;0;0;1
AA60013721056;2015-01-31;2015;1;201501;0;1;2;300.27;1;1;10;10;0;;0;0;19;19;19;0;0;0;0;0;5;5;1;2;2;4;4;2;2;5;5;P;16172.53;12929.29;72;30;0;21.647;N;0.00;0.00;0.00;12;0.00000;4.000000;0.00;0.00;0.00;0.00;0.00;0;1.3321344124;0;0;0;0;0;0;0;1;0;0;1.45;;;;;;;;;;;;;;;;;0.00;0;0;1;;0;0;0;0;0;0;1
